bps_kelurahan_kode,kemendagri_kelurahan_kode,status,id,kemendagri_provinsi_kode,kemendagri_kota_kode,kemendagri_kecamatan_kode,kemendagri_provinsi_nama,kemendagri_kota_nama,kemendagri_kecamatan_nama,kemendagri_kelurahan_nama,bps_provinsi_kode,bps_kota_kode,bps_kecamatan_kode,bps_provinsi_nama,bps_kota_nama,bps_kecamatan_nama,bps_kelurahan_nama,latitude,longitude,kode_pos,status_adm,nama,id_kecamatan,nama_kecamatan,id_kabupaten,nama_kabupaten,iks,ike,ikl,avg_idm
3201271011,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3202270007,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3204160001,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3205160002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
3209051008,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3209090009,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3209100008,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3209162002,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3210120011,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3210150014,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3212110007,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3212110009,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3212110011,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3213120006,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2
3215100010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2
